000 000  
001 001 ?
002 002 ?
003 003 ?
004 004 ?
005 005 ?
006 006 ?
007 007  
008 008  
009 009  
010 00a  
         
011 00b ?
012 00c ?
013 00d  
014 00e ?
015 00f ¤
016 010 ?
017 011 ?
018 012 ?
019 013 ?
020 014 ¶
021 015 §
022 016 ?
023 017 ?
024 018 ?
025 019 ?
026 01a ?
027 01b  
28 01c ? 
029 01d ?
030 01e ?
031 01f ?
032 020  
033 021 !
034 022 "
035 023 #
036 024 $
037 025 %
038 026 &
039 027 '
040 028 (
041 029 )
042 02a *
043 02b +
044 02c ,
045 02d -
046 02e .
047 02f /
048 030 0
049 031 1
050 032 2
051 033 3
052 034 4
053 035 5
054 036 6
055 037 7
056 038 8
057 039 9
058 03a :
059 03b ;
060 03c <
061 03d =
062 03e >
063 03f ?
064 040 @
065 041 A
066 042 B
067 043 C
068 044 D
069 045 E
070 046 F
071 047 G
072 048 H
073 049 I
074 04a J
075 04b K
076 04c L
077 04d M
078 04e N
079 04f O
080 050 P
081 051 Q
082 052 R
083 053 S
084 054 T
085 055 U
086 056 V
087 057 W
088 058 X
089 059 Y
090 05a Z
091 05b [
092 05c \
093 05d ]
094 05e ^
095 05f _
096 060 `
097 061 a
098 062 b
099 063 c
100 064 d
101 065 e
102 066 f
103 067 g
104 068 h
105 069 i
106 06a j
107 06b k
108 06c l
109 06d m
110 06e n
111 06f o
112 070 p
113 071 q
114 072 r
115 073 s
116 074 t
117 075 u
118 076 v
119 077 w
120 078 x
121 079 y
122 07a z
123 07b {
124 07c |
125 07d }
126 07e ~
127 07f 
